riskscore,pred_agelastarrest,pred_shootingvic_num,pred_assaultvic_num,pred_violetoffense_num,pred_crimacttrend_num,pred_uuwarrests_num,sex,race,weaponarrest_yn,drugarrest_yn,agegrp,ageto,stoporderno,paroleestatus_yn,lastarrest_date,distlastarrest,majoritydist,dlst,distlastresidence,weaponsarrest_num,lastweaparrest_date,narcoticssarrest_num,lastnarcarrest_date,cityresidence_idoc,stateresidence_idoc,zipresidence_idoc,idoccpddist,arrestbycpd_yn,domassaultarrest_num,lastdomassaultarrest_date,currentage,lastpartytoviolence_date,trapstatus,statusi,trapflags,cvrm_flags,latitude,longitude,censustract,commarea,location,dayslastarrest_num_et,notincookcounty_et,livewherearrested_et,shootingvictim_et,assaultvictim_et,predsumwotrend_et,lastarrestpolarea_id_et,agecatchange_et,urban_yn,random,insample
LOW,20 to 29,0,0,0,.40000001,0,F,WHI,0,0,20 to 29,20 to 29,,,2/11/18,2,2,IL,2,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,823,,1,0,0,0,1,1,Chicago City,1.5768452e-06,1
VERY LOW,40 to 49,0,0,0,-.1,0,M,BLK,0,1,40 to 49,40 to 49,,,2/4/16,18,19,WI,12,,,2,9/25/13 21:30,CHICAGO,IL,60640,,1,,,40 to 49,,,Y,,,,,,,,1561,,0,0,0,0,1,1,Chicago City,1.7053860e-06,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,M,BLK,0,0,30 to 39,30 to 39,,,1/1/15,31,,,31,,,,,,,,,0,1,1/1/15 3:38,30 to 39,,,Y,,,,,,,,1960,,1,0,0,0,,1,Rural/County,.000010909487,1
VERY LOW,50 to 59,0,0,0,-.1,0,M,WWH,0,0,50 to 59,50 to 59,,,2/5/16,8,8,,8,,,,,,,,,1,,,50 to 59,,,Y,,,,,,,,1560,,1,0,0,0,1,1,Chicago City,.000012792911,1
VERY LOW,40 to 49,0,0,0,-.30000001,0,M,WHI,0,0,40 to 49,40 to 49,,,11/12/14,31,16,IL,8,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,2010,,0,0,0,0,,0,Chicago City,.000015204041,1
VERY LOW,20 to 29,0,0,0,-.40000001,0,M,BLK,0,0,20 to 29,20 to 29,,,7/27/15,2,2,,2,,,,,,,,,1,1,1/13/15 21:30,30 to 39,,,Y,,,,,,,,1753,,1,0,0,0,1,0,Chicago City,.000017258504,1
VERY LOW,30 to 39,0,0,0,.30000001,0,M,WWH,0,0,30 to 39,30 to 39,,,10/8/17,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,949,,1,0,0,0,,0,Rural/County,.000029117569,1
VERY LOW,40 to 49,0,0,0,-.30000001,0,F,WHI,0,0,40 to 49,40 to 49,,,9/2/14,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,2081,1,1,0,0,0,,0,Rural/County,.000030385336,1
LOW,20 to 29,0,0,0,.69999999,0,F,BLK,0,0,20 to 29,20 to 29,,,1/17/18,31,6,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,848,,1,0,0,0,,1,Rural/County,.00003227016,1
MODERATE,less than 20,0,0,3,1.3,0,M,BLK,0,0,less than 20,less than 20,,,11/15/17,15,10,IL,15,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,911,,1,0,0,3,3,0,Chicago City,.000039199691,1
